,literal,stroke_count,grade,freq,jlpt
1343,穀,14,8.0,1299.0,2.0
1344,穂,15,4.0,1519.0,1.0
1345,積,16,8.0,987.0,3.0
1346,穏,16,8.0,1044.0,2.0
1347,穫,18,6.0,559.0,2.0
1348,穴,5,3.0,785.0,2.0
1349,究,7,1.0,994.0,1.0
1350,空,8,8.0,660.0,2.0
1351,突,8,8.0,1876.0,2.0
1352,窃,9,8.0,1127.0,1.0
1353,窒,11,6.0,1516.0,2.0
1354,窓,11,8.0,1662.0,2.0
1355,窟,13,8.0,537.0,1.0
1356,窮,15,8.0,1790.0,1.0
1357,窯,15,1.0,963.0,2.0
1358,立,5,8.0,1825.0,1.0
1359,竜,10,3.0,256.0,1.0
1360,章,11,3.0,204.0,1.0
1361,童,12,8.0,79.0,2.0
1362,端,14,4.0,162.0,1.0
1363,競,20,1.0,1288.0,2.0
1364,竹,6,4.0,806.0,2.0
1365,笑,10,3.0,615.0,2.0
1366,笛,11,8.0,125.0,2.0
1367,符,11,3.0,895.0,1.0
1368,第,11,3.0,784.0,2.0
1369,筆,12,3.0,1916.0,1.0
1370,等,12,6.0,743.0,1.0
1371,筋,12,8.0,141.0,2.0
1372,筒,12,2.0,643.0,1.0
1373,答,12,6.0,1053.0,1.0
1374,策,12,8.0,1194.0,1.0
1375,箇,14,8.0,1495.0,1.0
1376,箋,14,2.0,677.0,1.0
1377,算,14,4.0,129.0,1.0
1378,管,14,4.0,1180.0,2.0
1379,節,13,8.0,952.0,1.0
1380,範,15,5.0,382.0,1.0
1381,築,16,8.0,797.0,1.0
1382,篤,16,6.0,591.0,1.0
1383,簡,18,8.0,933.0,1.0
1384,簿,19,8.0,1430.0,1.0
1385,籍,20,8.0,788.0,2.0
1386,籠,22,2.0,2460.0,2.0
1387,米,6,5.0,1291.0,1.0
1388,粉,10,8.0,1075.0,2.0
1389,粋,10,8.0,1764.0,1.0
1390,粒,11,8.0,1258.0,1.0
1391,粗,11,8.0,1723.0,1.0
1392,粘,11,8.0,909.0,2.0
1393,粛,11,8.0,820.0,2.0
1394,粧,12,5.0,1198.0,1.0
1395,精,14,6.0,1451.0,2.0
1396,糖,16,8.0,608.0,1.0
1397,糧,18,1.0,2195.0,2.0
1398,糸,6,6.0,2495.0,3.0
1399,系,7,8.0,1543.0,1.0
1400,糾,9,5.0,732.0,1.0
1401,紀,9,4.0,277.0,2.0
1402,約,9,6.0,1220.0,3.0
1403,紅,9,8.0,725.0,3.0
1404,紋,10,6.0,2467.0,1.0
1405,納,10,6.0,2104.0,2.0
1406,純,10,2.0,1831.0,1.0
1407,紙,10,3.0,1852.0,4.0
1408,級,9,8.0,462.0,1.0
1409,紛,10,5.0,1012.0,4.0
1410,素,10,8.0,415.0,1.0
1411,紡,10,8.0,748.0,2.0
1412,索,10,8.0,2064.0,3.0
1413,紫,12,8.0,1070.0,1.0
1414,累,11,2.0,706.0,1.0
1415,細,11,8.0,1465.0,1.0
1416,紳,11,8.0,1201.0,1.0
1417,紹,11,8.0,803.0,2.0
1418,紺,11,3.0,196.0,1.0
1419,終,11,2.0,38.0,2.0
1420,組,11,5.0,1295.0,2.0
1421,経,11,4.0,1568.0,1.0
1422,結,12,8.0,1328.0,2.0
1423,絞,12,8.0,1165.0,1.0
1424,絡,12,4.0,319.0,2.0
1425,給,12,5.0,781.0,1.0
1426,統,12,2.0,305.0,1.0
1427,絵,12,5.0,986.0,1.0
1428,絶,12,6.0,1889.0,2.0
1429,絹,13,8.0,1118.0,2.0
1430,継,13,4.0,2212.0,2.0
1431,続,13,8.0,2289.0,1.0
1432,維,14,8.0,1469.0,1.0
1433,綱,14,8.0,1215.0,1.0
1434,網,14,8.0,1878.0,1.0
